n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc
0,250,0.01,sigmoid,50,train_network_stocastic_ADAM,0.9566666666666667,0.79
0,250,0.01,sigmoid,100,train_network_SRMSprop,0.9933333333333333,0.86
0,250,0.01,sigmoid,100,train_network_stocastic_ADAM,0.98,0.84
0,250,0.01,sigmoid,250,train_network_SRMSprop,1.0,0.84
0,250,0.01,sigmoid,250,train_network_stocastic_ADAM,1.0,0.86
0,250,0.01,sigmoid,500,train_network_SRMSprop,1.0,0.83
0,250,0.01,sigmoid,500,train_network_stocastic_ADAM,1.0,0.85
0,250,0.01,ReLU,25,train_network_SRMSprop,0.9166666666666666,0.74
0,250,0.01,ReLU,25,train_network_stocastic_ADAM,0.8966666666666666,0.82
0,250,0.01,ReLU,50,train_network_SRMSprop,0.96,0.8
0,250,0.01,ReLU,50,train_network_stocastic_ADAM,0.9533333333333334,0.68
0,250,0.01,ReLU,100,train_network_SRMSprop,0.9966666666666667,0.86
0,250,0.01,ReLU,100,train_network_stocastic_ADAM,0.9833333333333333,0.8
0,250,0.01,ReLU,250,train_network_SRMSprop,1.0,0.85
0,250,0.01,ReLU,250,train_network_stocastic_ADAM,1.0,0.83
0,250,0.01,ReLU,500,train_network_SRMSprop,1.0,0.83
0,250,0.01,ReLU,500,train_network_stocastic_ADAM,1.0,0.87
0,250,0.01,leaky_ReLU,25,train_network_SRMSprop,0.9166666666666666,0.85
0,250,0.01,leaky_ReLU,25,train_network_stocastic_ADAM,0.8933333333333333,0.79
0,250,0.01,leaky_ReLU,50,train_network_SRMSprop,0.9633333333333334,0.81
0,250,0.01,leaky_ReLU,50,train_network_stocastic_ADAM,0.95,0.84
0,250,0.01,leaky_ReLU,100,train_network_SRMSprop,0.9966666666666667,0.85
0,250,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.9833333333333333,0.79
0,250,0.01,leaky_ReLU,250,train_network_SRMSprop,1.0,0.82
0,250,0.01,leaky_ReLU,250,train_network_stocastic_ADAM,1.0,0.87
0,250,0.01,leaky_ReLU,500,train_network_SRMSprop,1.0,0.83
0,250,0.01,leaky_ReLU,500,train_network_stocastic_ADAM,1.0,0.84
0,500,0.1,sigmoid,25,train_network_SRMSprop,1.0,0.84
0,500,0.1,sigmoid,25,train_network_stocastic_ADAM,1.0,0.83
0,500,0.1,sigmoid,50,train_network_SRMSprop,1.0,0.83
0,500,0.1,sigmoid,50,train_network_stocastic_ADAM,1.0,0.79
0,500,0.1,sigmoid,100,train_network_SRMSprop,1.0,0.83
0,500,0.1,sigmoid,100,train_network_stocastic_ADAM,1.0,0.86
0,500,0.1,sigmoid,250,train_network_SRMSprop,1.0,0.81
0,500,0.1,sigmoid,250,train_network_stocastic_ADAM,1.0,0.83
0,500,0.1,sigmoid,500,train_network_SRMSprop,1.0,0.81
0,500,0.1,sigmoid,500,train_network_stocastic_ADAM,1.0,0.83
0,500,0.1,ReLU,25,train_network_SRMSprop,1.0,0.83
0,500,0.1,ReLU,25,train_network_stocastic_ADAM,1.0,0.84
