n_hidden,layer_size,eta,activation,n_epochs,optimizer,train_acc,val_acc,test_acc
1,1000,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,1000,0.1,sigmoid,100,train_network_SRMSprop,0.9553333333333334,0.874,0.844
1,1000,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
1,1000,0.01,sigmoid,100,train_network_SRMSprop,0.992,0.9,0.888
1,1000,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9906666666666667,0.91,0.894
1,1000,0.01,sigmoid,100,train_network_stocastic_momentum,0.9993333333333333,0.898,0.876
1,1000,0.01,sigmoid,100,train_network_momentum,0.096,0.09,0.09
1,1000,0.01,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.01,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.01,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
1,1000,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,25,1.0,sigmoid,100,train_network_SRMSprop,0.04733333333333333,0.05,0.058
2,25,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,25,1.0,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,1.0,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,1.0,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,1.0,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,25,1.0,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,1.0,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,1.0,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,1.0,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,25,0.1,sigmoid,100,train_network_SRMSprop,0.944,0.864,0.854
2,25,0.1,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,sigmoid,100,train_network_stocastic_momentum,0.11266666666666666,0.106,0.118
2,25,0.1,sigmoid,100,train_network_momentum,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,0.1,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_SRMSprop,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,0.1,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,25,0.01,sigmoid,100,train_network_SRMSprop,0.9993333333333333,0.866,0.882
2,25,0.01,sigmoid,100,train_network_stocastic_ADAM,0.9966666666666667,0.872,0.884
2,25,0.01,sigmoid,100,train_network_stocastic_momentum,0.9946666666666667,0.878,0.878
2,25,0.01,sigmoid,100,train_network_momentum,0.41533333333333333,0.418,0.398
2,25,0.01,ReLU,100,train_network_SRMSprop,0.97,0.862,0.854
2,25,0.01,ReLU,100,train_network_stocastic_ADAM,0.9226666666666666,0.79,0.768
2,25,0.01,ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,0.01,ReLU,100,train_network_momentum,0.096,0.09,0.09
2,25,0.01,leaky_ReLU,100,train_network_SRMSprop,0.972,0.816,0.86
2,25,0.01,leaky_ReLU,100,train_network_stocastic_ADAM,0.966,0.826,0.818
2,25,0.01,leaky_ReLU,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,25,0.01,leaky_ReLU,100,train_network_momentum,0.096,0.09,0.09
2,250,1.0,sigmoid,100,train_network_SRMSprop,0.096,0.09,0.09
2,250,1.0,sigmoid,100,train_network_stocastic_ADAM,0.096,0.09,0.09
2,250,1.0,sigmoid,100,train_network_stocastic_momentum,0.096,0.09,0.09
2,250,1.0,sigmoid,100,train_network_momentum,0.096,0.09,0.09
